UserID	Gender	Age	Occupation	Zip-code	Cluseterid
1	F	1	10	48067	18
2	M	56	16	70072	1
3	M	25	15	55117	4
4	M	45	7	02460	6
5	M	25	20	55455	4
6	F	50	9	55117	5
7	M	35	1	06810	6
8	M	25	12	11413	7
9	M	25	17	61614	4
10	F	35	1	95370	9
11	F	25	1	04093	10
12	M	25	12	32793	7
13	M	45	1	93304	12
14	M	35	0	60126	13
15	M	25	7	22903	10
16	F	35	0	20670	6
17	M	50	1	95350	12
18	F	18	3	95825	17
19	M	1	10	48073	18
20	M	25	14	55113	4
21	M	18	16	99353	8
22	M	18	15	53706	4
23	M	35	0	90049	9
24	F	25	7	10023	10
25	M	18	4	01609	10
26	M	25	7	23112	10
27	M	25	11	19130	7
28	F	25	1	14607	10
29	M	35	7	33407	6
30	F	35	7	19143	6
31	M	56	7	06840	5
32	F	25	0	19355	10
33	M	45	3	55421	15
34	F	18	0	02135	10
35	M	45	1	02482	15
36	M	25	3	94123	17
37	F	25	9	66212	11
38	F	18	4	02215	10
39	M	18	4	61820	14
40	M	45	0	10543	15
41	F	18	4	15116	10
42	M	25	8	24502	11
43	M	25	12	60614	11
44	M	45	17	98052	1
45	F	45	16	94110	1
46	M	18	19	75602	8
47	M	18	4	94305	17
48	M	25	4	92107	17
49	M	18	12	77084	19
50	F	25	2	98133	17
51	F	1	10	10562	0
52	M	18	4	72212	14
53	M	25	0	96931	17
54	M	50	1	56723	15
55	F	35	12	55303	2
56	M	35	20	60440	2
57	M	18	19	30350	4
58	M	25	2	30303	10
59	F	50	1	55413	15
60	M	50	1	72118	12
61	M	25	17	95122	8
62	F	35	3	98105	9
63	M	18	4	54902	14
64	M	18	1	53706	14
65	M	35	12	55803	2
66	M	25	18	57706	4
67	F	50	5	60181	16
68	M	18	4	53706	14
69	F	25	1	02143	10
70	M	18	4	53703	14
71	M	25	14	95008	19
72	F	45	0	55122	15
73	M	18	4	53706	14
74	M	35	14	94530	19
75	F	1	10	01748	0
76	M	35	7	55413	11
77	M	18	4	15321	10
78	F	45	1	98029	12
79	F	45	0	98103	12
80	M	56	1	49327	15
81	F	25	0	60640	13
82	M	25	17	48380	4
83	F	25	2	94609	17
84	M	18	4	53140	14
85	M	18	4	94945	17
86	F	1	10	54467	18
87	M	25	14	48360	4
88	F	45	1	02476	15
89	F	56	9	85749	16
90	M	56	13	85749	1
91	M	35	7	07650	6
92	F	18	4	44243	14
93	M	25	17	95825	8
94	M	25	17	28601	7
95	M	45	0	98201	12
96	F	25	16	78028	8
